"Player","ID","season","cut","misc","postup","prman","putback","transition","handoff","offscreen","prhandler","spotup","isolation"
"GlennRobinson III","203922",2016,24,NA,NA,NA,NA,49,10,19,17,48,NA
"JeramiGrant","203924",2016,108,39,49,90,52,138,24,21,23,214,102
"DougMcDermott","203926",2016,74,24,21,NA,29,118,101,113,26,203,NA
"SeanKilpatrick","203930",2016,20,11,NA,NA,NA,65,11,25,58,106,11
"AaronGordon","203932",2016,89,53,31,51,106,127,18,NA,37,180,30
"T.J.Warren","203933",2016,46,21,NA,NA,45,118,22,55,52,112,21
"LamarPatterson","203934",2016,11,NA,NA,NA,NA,13,NA,NA,13,49,NA
"MarcusSmart","203935",2016,34,55,42,NA,46,115,40,20,124,172,32
"KyleAnderson","203937",2016,16,26,38,NA,14,61,19,NA,38,109,53
"DwightPowell","203939",2016,108,32,NA,94,37,26,NA,38,NA,58,NA
"NoahVonleh","203943",2016,41,31,25,64,56,27,NA,NA,NA,87,10
"JuliusRandle","203944",2016,95,64,131,103,114,173,NA,24,24,123,239
"JohnnyO'Bryant III","203948",2016,52,17,18,34,35,16,NA,NA,NA,69,NA
"AndrewWiggins","203952",2016,95,57,208,49,77,203,116,251,327,171,177
"JabariParker","203953",2016,192,50,79,55,70,203,20,27,67,251,102
"JaKarrSampson","203960",2016,74,16,NA,NA,30,102,38,NA,17,127,13
"ClintCapela","203991",2016,159,49,24,101,128,70,NA,NA,NA,NA,NA
